League,Game_ID,Game_Date,Fixture_Time_Sydney,Home_Team,Away_Team,Team,Player,Player_Key,Market,Projected_Minutes,Projected_Stat,Projection_P10,Projection_P90,Dispersion,History_Games,Role_Persistence,Role_Games,Role_Minutes_Median,Role_Minutes_MAD,Role_Continuity,Recent_Participation_Status,Games_Played_Last_4,Played_Last_Game,Days_Since_Appearance,Minutes_Trend_Ratio,Returning_Teammate_Risk,Role_Confidence_Status,Player_Training_Through,Status,Lineup_Source,Injury_Scenario,Model_Version,Generated_At_UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Arnas Velička,arnas velička,points,8.539405799679784,3.9216266380097204,1,7,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Arnas Velička,arnas velička,rebounds,8.539405799679784,1.5483743986179674,-0,4,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Arnas Velička,arnas velička,assists,8.539405799679784,0.7989197069548604,-0,2,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Arnas Velička,arnas velička,threes,8.539405799679784,0.420295498419255,-0,1,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Jaylin Williams,jaylin williams,points,22.02455079167408,9.875785162418325,5,15,1.5,1,0.3269594300266597,1,20.6333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Jaylin Williams,jaylin williams,rebounds,22.02455079167408,4.011288785000563,1,7,1.5,1,0.3269594300266597,1,20.6333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Jaylin Williams,jaylin williams,assists,22.02455079167408,1.9966379271691337,-0,4,1.5,1,0.3269594300266597,1,20.6333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Jaylin Williams,jaylin williams,threes,22.02455079167408,1.082944773968933,-0,3,1.5,1,0.3269594300266597,1,20.6333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Archie Woodhill,archie woodhill,points,16.79416473937021,6.780754131140219,2,12,2.3640350877192984,25,0.39151975154415486,10,4.091666666666665,0.9750000000000001,0.1,limited_recent_participation,0,FALSE,219,,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Archie Woodhill,archie woodhill,rebounds,16.79416473937021,3.146850706185968,1,6,1.5574712643678161,25,0.39151975154415486,10,4.091666666666665,0.9750000000000001,0.1,limited_recent_participation,0,FALSE,219,,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Archie Woodhill,archie woodhill,assists,16.79416473937021,1.2224935397218428,-0,3,1.3958333333333333,25,0.39151975154415486,10,4.091666666666665,0.9750000000000001,0.1,limited_recent_participation,0,FALSE,219,,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Archie Woodhill,archie woodhill,threes,16.79416473937021,0.6410083738209181,-0,2,1.2,25,0.39151975154415486,10,4.091666666666665,0.9750000000000001,0.1,limited_recent_participation,0,FALSE,219,,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,illawarra hawks,Todd Blanchfield,todd blanchfield,points,17.513111597955238,6.60159141445324,1,15,6.111752324486274,195,0.9337171123131225,10,19.8583333333333,3.1500000000000004,1,stable_active,4,TRUE,5,1.247437092264679,FALSE,stable_active,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,illawarra hawks,Todd Blanchfield,todd blanchfield,rebounds,17.513111597955238,3.5800040150330474,1,7,1.4781579072007074,195,0.9337171123131225,10,19.8583333333333,3.1500000000000004,1,stable_active,4,TRUE,5,1.247437092264679,FALSE,stable_active,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
